Question;Answer;TTC
Dans le cas où un conseiller n'atteint pas le nombre d'heures facturables requises quels outils de gestion d'horaire peut-il utiliser pour compenser?;" Dans le cas où un conseiller n'atteint pas le nombre d'heures facturables requises dans une période de paie, il peut utiliser les outils de gestion d'horaire suivants pour compenser:

- La banque de temps, qui permet d'accumuler des heures supplémentaires réalisées au-delà des heures facturables requises et de les utiliser plus tard pour prendre des congés ou les monnayer. 

- Les heures de travail flexible, qui donnent une autonomie dans la gestion du temps de travail tout en respectant les attentes du client. 

- Le soutien apporté aux collègues, la formation continue ou les travaux administratifs, qui peuvent être comptabilisés comme des heures facturables.

- Exceptionnellement, un report des heures manquantes sur la période de paie suivante, avec l'établissement d'un plan pour les rattraper.";6.49
Que doivent faire les conseillers qui ont moins de 75 heures facturables par période de paie pour rester productifs et contribuer à l'entreprise?;" Les conseillers qui ont moins de 75 heures facturables par période de paie doivent:
<quotes>- Soutenir leurs collègues en partageant leur charge de travail pour maintenir l'équité au sein de l'équipe.</quotes> 
<quotes>- Réaliser des travaux administratifs de plus grande envergure.</quotes>
<quotes>- Profiter de ce temps pour parfaire leurs connaissances par l'autoformation ou en participant à des formations autorisées par l'entreprise.</quotes>";3.64
Quelle est la procédure pour qu'un conseiller puisse faire valider et accumuler ses heures supplémentaires dans la banque de temps?;" Voici la procédure pour qu'un conseiller puisse faire valider et accumuler ses heures supplémentaires dans la banque de temps:

- Le conseiller doit obtenir une autorisation préalable de son gestionnaire pour effectuer des heures supplémentaires au-delà des 75 heures par période de paie. 

- Les heures supplémentaires doivent être saisies sur la ligne 205 de la feuille de temps Unit 4.

- Pour les contributions exceptionnelles comme les apports en clientèle ou les projets spéciaux, une autorisation du chargé de projet doit être jointe à la feuille de temps.

- La feuille de temps doit être soumise au plus tard le vendredi avant la fin de la journée pour que les heures supplémentaires soient validées et accumulées dans la banque de temps du conseiller.";4.37
De quelles manières un conseiller peut-il utiliser les heures accumulées dans sa banque de temps tout au long de l'année?;" Un conseiller peut utiliser les heures accumulées dans sa banque de temps de plusieurs manières tout au long de l'année:
- Il peut demander à être payé pour une partie de ses heures excédentaires avant le 31 décembre.
- Il peut les utiliser pour absorber les périodes entre deux mandats ou pendant la fermeture des Fêtes.
- Il peut augmenter la durée de ses vacances annuelles en prenant des congés payés grâce à sa banque de temps.
- Il doit conserver un minimum de 37,5 heures dans sa banque pour maintenir l'équilibre travail-vie personnelle.";4.66
Si un conseiller est requis pour travailler pendant la période des fêtes à la demande de son client comment les heures travaillées sont-elles gérées ou compensées?;" Si un conseiller est requis de travailler pendant la période des fêtes à la demande de son client, les heures travaillées sont gérées de la façon suivante :

Les heures travaillées seront ajoutées à la banque de temps du conseiller. Celui-ci pourra reporter ces heures sur des jours de congé ultérieurs comme des vacances annuelles, des congés personnels ou sans solde. Il est aussi possible de convertir la banque de temps en boni à la fin de l'année. Les modalités normales de gestion d'horaire s'appliquent pendant cette période pour les conseillers devant faire du temps facturable à la demande de leurs clients.";4.87
À quelle fréquence le conseiller doit-il soumettre son rapport de temps Levio et quel est le délai précis?; Le conseiller doit soumettre son rapport de temps Levio, également appelé feuille de temps, chaque semaine le vendredi avant la fin de la journée. Ce rapport doit détailler toutes les activités réalisées pendant la semaine, facturables ou non.;2.74
Est-il nécessaire pour le conseiller de produire un rapport de temps séparé pour les activités facturables en clientèle?; Il n'est pas nécessaire pour le conseiller de produire un rapport de temps séparé pour les activités facturables et non facturables. En effet, selon les extraits, le conseiller a une grande flexibilité dans la gestion de son horaire tant qu'il respecte son objectif de facturation minimum de 753 heures par période de paie. De plus, certains clients demandent un rapport du temps consacré au mandat uniquement, mais le conseiller peut gérer son temps librement pour les autres tâches telles que la formation ou le travail administratif.;3.29
Quelles sont les étapes pour qu'un conseiller puisse recevoir la prime de référencement après avoir recommandé un candidat?;" Voici les étapes pour qu'un conseiller puisse recevoir la prime de référencement après avoir recommandé un candidat:

1. Le conseiller doit recommander un candidat à l'équipe de recrutement de Levio. 

2. Le candidat ne doit jamais avoir été contacté par l'équipe de recrutement et ne pas avoir été connu lors d'une activité de représentation de l'entreprise.

3. Le candidat doit être embauché par Levio. 

4. Une prime de 1 500$ sera versée en deux temps: 50% à l'embauche du candidat et 50% après 6 mois d'emploi continu chez Levio. 

5. Le conseiller doit toujours être employé par Levio lors du versement des primes pour être éligible.";5.21
Quelles sont les conditions d'éligibilité pour qu'un candidat soit considéré comme valable dans le cadre du programme de référencement?;" Pour qu'un candidat soit considéré comme valable dans le cadre du programme de référencement, il doit respecter les conditions suivantes :

- Ne jamais avoir été contacté par l'équipe de recrutement de l'entreprise
- Ne pas avoir été connu lors d'activités de représentation de l'entreprise comme des salons de l'emploi
- Avoir été informé par le conseiller référant de son référencement au sein de l'entreprise  
- Ne pas avoir de fonction de recrutement ou de développement des affaires

Le candidat référé doit également transmettre un CV accompagné d'une preuve écrite du référencement par courriel ou via la plateforme de référencement pour être éligible à la prime de référencement.";5.67
Qui n'est pas éligible pour recevoir la prime de référencement et quelles sont les exceptions à ce programme?;" Les personnes non éligibles à la prime de référencement sont :
- Les personnes qui ont déjà été contactées par l'équipe de recrutement de l'entreprise
- Celles qui ont déjà été connues lors d'événements de représentation de l'entreprise
- Si le recrutement ou le développement des affaires fait partie de leurs fonctions

Les exceptions à ce programme sont :
- Le candidat référé doit avoir été informé de son référencement au sein de l'entreprise
- Si deux personnes recommandent le même candidat, la prime sera divisée entre les deux";5.62
"Quelles sont les différences entre le ""Flexi-Travail selon le client"" et le ""Flexi-Travail Levio"" en termes de conditions et d'exigences?";" Voici les principales différences entre le ""Flexi-Travail selon le client"" et le ""Flexi-Travail Levio"" :

- Le ""Flexi-Travail selon le client"" s'applique aux conseillers en mandat chez un client. Ils peuvent alterner entre le travail en présentiel chez le client ou chez Levio et le télétravail, mais la présence peut être requise par le client ou le gestionnaire de prestation de service. 

- Le ""Flexi-Travail Levio"" s'applique aux employés qui ne sont pas en mandat chez un client. Ils ont la possibilité d'alterner le travail en présentiel et le télétravail selon leurs besoins, mais Levio encourage le présentiel pour certains projets.

- Dans le cas du ""Flexi-Travail selon le client"", le conseiller doit se conformer à l'horaire et la politique de télétravail du client, alors que pour le ""Flexi-Travail Levio"", les modalités sont définies par Levio.";6.64
"Quels sont les critères déterminant si un conseiller doit travailler en présentiel ou peut opter pour le télétravail dans le cadre du ""Flexi-Travail selon le client""?";" Les principaux critères déterminant si un conseiller doit travailler en présentiel ou peut opter pour le télétravail dans le cadre du ""Flexi-Travail selon le client"" sont les suivants :

- La demande du client ou du gestionnaire de prestation de service qui peut requérir la présence du conseiller au bureau du client. 

- Le type de tâches à accomplir, le travail en présentiel favorisant la collaboration tandis que le télétravail permet un travail plus individuel nécessitant une plus grande concentration.

- Le respect de l'horaire de travail et de la politique de télétravail du client lorsque le conseiller est en mandat chez ce dernier.

- L'accord du client et du gestionnaire de prestation de service si le conseiller souhaite effectuer une période de télétravail de l'étranger ne dépassant pas 4 semaines consécutives.";4.11
Comment un employé peut-il alterner entre le travail présentiel et le télétravail et quelles sont les attentes de Levio?;" Un employé de Levio peut alterner entre le travail présentiel et le télétravail de plusieurs façons:

- Pour les conseillers en mandat, le flexi-travail se fait selon les besoins et la politique du client, avec la possibilité de travailler au bureau du client ou de Levio. 

- Pour les autres employés, le ""flexi-travail Levio"" permet d'alterner librement entre le travail au bureau et le télétravail, avec une présence régulière recommandée pour favoriser la collaboration.

Les attentes de Levio incluent le respect des politiques des clients, la mesure des résultats, le maintien de la collaboration avec l'équipe, et une connexion Internet adéquate pour le télétravail. La sécurité et la conformité légale sont également des priorités.";5.91
Quelles règles un conseiller doit-il suivre lorsqu'il est en mandat chez un client et comment cela affecte-t-il son rôle interne chez Levio?;" Voici une réponse en quatre phrases:

Un conseiller en mandat chez un client doit suivre les règles et la politique de télétravail établies par ce client, notamment en ce qui concerne les horaires de travail. Lorsqu'il joue également un rôle interne chez Levio, son statut de conseiller en mandat prime sur son rôle interne. Cela signifie que ses obligations auprès du client priment sur ses tâches internes chez Levio. Toutefois, il doit toujours respecter les politiques et pratiques en vigueur chez Levio, notamment en matière de confidentialité, éthique et sécurité de l'information.";4.37
Comment les employés doivent-ils réserver les salles de conférence et les espaces de travail individuels et existe-t-il une plateforme dédiée à cette réservation?; Les employés doivent réserver les salles de conférence et les espaces de travail individuels à l'avance via la plateforme de réservation Levio. Cette plateforme permet de coordonner l'utilisation des différents lieux afin d'éviter les conflits. Les salles de réunion et bureaux partagés sont mis à la disposition des employés qui peuvent les réserver selon leurs besoins, que ce soit pour travailler seuls ou en équipe.;3.81
